RowName,ItemID,ItemName,ItemNameEN,ItemDescription,ItemDescriptionEN,ItemIconPath,ItemModelPath,SymbolicMeaning,CanBeExamined,CanBeCombined,ItemType
1,GameCoin,游戏币,Game Coin,"一枚孤零零的游戏币,边缘磨损,但依然闪亮。它曾在游戏厅的机器中流转,见证了无数次挑战和欢笑。","A lone game coin, edges worn but still shining. It has circulated through arcade machines, witnessing countless challenges and laughter.",/Game/Textures/Items/T_Item_GameCoin,/Game/Meshes/Items/SM_GameCoin,机遇与挑战的象征,TRUE,FALSE,Tool
2,Gear_Copper,铜色齿轮,Copper Gear,"一个古旧的铜色齿轮,刻有乌鸦羽毛纹样。它代表过去,记忆的基石。","An antique copper gear engraved with crow feather patterns. It represents the past, the foundation of memories.",/Game/Textures/Items/T_Item_GearCopper,/Game/Meshes/Items/SM_GearCopper,过去的记忆·时间的基石,TRUE,FALSE,Key
3,Gear_Silver,银色齿轮,Silver Gear,"一个明亮的银色齿轮,刻有花朵纹样。它代表现在,陪伴的温暖。","A bright silver gear engraved with flower patterns. It represents the present, the warmth of companionship.",/Game/Textures/Items/T_Item_GearSilver,/Game/Meshes/Items/SM_GearSilver,现在的陪伴·当下的温度,TRUE,FALSE,Key
4,Gear_Gold,金色齿轮,Golden Gear,"一个闪耀的金色齿轮,刻有星辰纹样。它代表未来,希望的承诺。","A shining golden gear engraved with star patterns. It represents the future, the promise of hope.",/Game/Textures/Items/T_Item_GearGold,/Game/Meshes/Items/SM_GearGold,未来的希望·承诺的力量,TRUE,FALSE,Key
5,ArcadeTickets,游戏彩票,Arcade Tickets,"一大叠游戏厅的兑奖彩票,边缘有锯齿。每一张都是我们一起努力赢来的奖励。","A thick stack of arcade prize tickets with serrated edges. Each one is a reward we won together.",/Game/Textures/Items/T_Item_Tickets,/Game/Meshes/Items/SM_Tickets,共同努力的成果,TRUE,FALSE,Currency
6,EternalPalette,永恒调色盘,Eternal Palette,"一个精美的调色盘,上面有彩虹七色的颜料。每一种颜色都闪烁着柔和的光芒,像是凝固的时光。","An exquisite palette with rainbow-colored paints. Each color glows softly, like crystallized time.",/Game/Textures/Items/T_Item_Palette,/Game/Meshes/Items/SM_Palette,创造未来的工具,TRUE,FALSE,Tool
7,PainterBrush,画家的画笔,Painter's Brush,"一支沾满颜料的画笔,笔尖柔软。它曾描绘过无数瞬间,现在等待着描绘我们的未来。","A paintbrush stained with paint, soft bristles. It has painted countless moments, now waiting to paint our future.",/Game/Textures/Items/T_Item_Brush,/Game/Meshes/Items/SM_Brush,描绘的力量,TRUE,TRUE,Tool
8,FutureSymbol,未来之符,Symbol of the Future,"一支彩虹色的画笔形状的炼金术符号,发出柔和的光芒。它象征着创造,象征着我们共同描绘的未来。","An alchemical symbol shaped like a rainbow-colored paintbrush, emitting soft light. It symbolizes creation and the future we paint together.",/Game/Textures/Items/T_Item_FutureSymbol,/Game/Meshes/Items/SM_FutureSymbol,未来的创造·流动的永恒,TRUE,FALSE,QuestItem
9,EternalSymbol,永恒之符,Symbol of Eternity,"三个符号融合而成的最终形态,心形、环形与三个元素的印记交织。它不再是静止的,而是流动着彩虹色的光芒。","The final form created by fusing three symbols, interweaving heart, ring and three elemental marks. No longer static, it flows with rainbow light.",/Game/Textures/Items/T_Item_EternalSymbol,/Game/Meshes/Items/SM_EternalSymbol,永恒的真谛·流动的选择,TRUE,FALSE,QuestItem
10,AlchemistDiary_Ch3,炼金术士日记·终章,Alchemist's Diary - Final Chapter,"日记的最后几页,记录着炼金术士的最终领悟。纸页边缘有烧焦的痕迹,但文字依然清晰。","The final pages of the diary, recording the alchemist's ultimate realization. Page edges are singed, but the words remain clear.",/Game/Textures/Items/T_Item_DiaryFinal,/Game/Meshes/Items/SM_DiaryFinal,最终的觉悟,TRUE,FALSE,Document
11,RepinPlaque,列宾画作铭牌,Repin Painting Plaque,"画框右下角的铭牌,刻着一行数字:1:47。这是我们故事的起点,也是永恒的开端。","A plaque at the bottom right of the frame, engraved with: 1:47. This is the starting point of our story and the beginning of eternity.",/Game/Textures/Items/T_Item_Plaque,/Game/Meshes/Items/SM_Plaque,时间的约定,TRUE,FALSE,Clue
